id	title	description	link	image_link	brand	condition	availability	price	short_description	product_type	google_product_category	gender
39	Seasonal Hare Patte Ki Sabzi 250gms	Cooked without oil. Green leaves are essential to a balanced diet and we are always scouting for seasonal green leaves which provide maximum nutrition. It can range from amaranth leaves, muuli leaves, spinach leaves or other, whatever we find is looking good on each day.	https://foodfunctional.in/seasonal-hare-patte-ki-sabzi.html	https://foodfunctional.in/media/catalog/product/s/e/seasonalharepattekisabzi.jpg	Food Functional Store	new	in stock	350.00 INR	Cooked without oil. Green leaves are essential to a balanced diet and we are always scouting for seasonal green leaves which provide maximum nutrition. It can range from amaranth leaves, muuli leaves, spinach leaves or other, whatever we find is looking good on each day.	Default > Mains		
40	Dal Makhani 250gms	Butter-free, cream-free, oil free, this vegan Dal Makhani is unbelievable. Rich and creamy like traditional Dal Makhani but with none of the unhealthiness. This Dal Makahani has cashew nut paste in it giving it a creamy texture, while giving healthier form of fats - unsaturated fats, which are better for your heart and also for diabetics and for weight loss.	https://foodfunctional.in/dal-makhani.html	https://foodfunctional.in/media/catalog/product/d/a/dalmakhani.jpeg	Food Functional Store	new	in stock	350.00 INR	Butter-free, cream-free, oil free, this vegan Dal Makhani is unbelievable. Rich and creamy like traditional Dal Makhani but with none of the unhealthiness. This Dal Makahani has cashew nut paste in it giving it a creamy texture, while giving healthier form of fats - unsaturated fats, which are better for your heart and also for diabetics and for weight loss.	Default > Mains		
41	Dal Tadke Wali 250gms	Our healthy tadka is made without oil. It is one of the healthiest tadka dal's in India. Oil is the only unhealthy thing in a dal tadka and also one always has to worry about oil quality. Eat this dal without any worry as it is 100% healthy.	https://foodfunctional.in/dal-tadke-wali.html	https://foodfunctional.in/media/catalog/product/d/a/dal-tadka.jpg	Food Functional Store	new	in stock	350.00 INR	Our healthy tadka is made without oil. It is one of the healthiest tadka dal's in India. Oil is the only unhealthy thing in a dal tadka and also one always has to worry about oil quality. Eat this dal without any worry as it is 100% healthy.	Default > Mains		
42	Nargisi Kofta 250gms	Nargisi KoftaIngredients  Tofu- Firm, Cashews, Cauliflower, Golden Raisin, Almonds, Tomato, Pink Salt, Degi Mirch, Green Elaichi Powder, kesar, Kewra Water, Rose Water, Coriander Powder, Garam Masala, Saffron	https://foodfunctional.in/nargisi-kofta.html	https://foodfunctional.in/media/catalog/product/n/e/nergisi_kofta.jpg	Food Functional Store	new	in stock	350.00 INR	Nargisi KoftaIngredients  Tofu- Firm, Cashews, Cauliflower, Golden Raisin, Almonds, Tomato, Pink Salt, Degi Mirch, Green Elaichi Powder, kesar, Kewra Water, Rose Water, Coriander Powder, Garam Masala, Saffron	Default > Mains		
43	Paneer Makhanwala 250gms	Paneer MakhanwalaIngredients  Tomato Puree, Cashew Paste, Water, Red chilli, Ginger, Garlic, Salt, Kastoori Methi.	https://foodfunctional.in/paneer-makhanwala.html	https://foodfunctional.in/media/catalog/product/p/a/paneermakhanwala_1.jpg	Food Functional Store	new	in stock	350.00 INR	Paneer MakhanwalaIngredients  Tomato Puree, Cashew Paste, Water, Red chilli, Ginger, Garlic, Salt, Kastoori Methi.	Default > Mains		
44	Shahi Paneer 250gms	Shahi PaneerIngredients  Tofu, Tandoori Masala, Vegan Curd, Salt, Degi Mirch, Dhaniya Pwd, Garam masala, Kitchen King, Cauliflower, Tomato Puree, Cashewnut, Ginger, Garlic, Sucralose, Water.	https://foodfunctional.in/shahi-paneer.html	https://foodfunctional.in/media/catalog/product/s/h/shahipaneer.jpg	Food Functional Store	new	in stock	350.00 INR	Shahi PaneerIngredients  Tofu, Tandoori Masala, Vegan Curd, Salt, Degi Mirch, Dhaniya Pwd, Garam masala, Kitchen King, Cauliflower, Tomato Puree, Cashewnut, Ginger, Garlic, Sucralose, Water.	Default > Mains		
45	Paneer Dhaniya Adraki 250gms	Paneer Dhaniya AdrakiIngredients  Silken Tofu, Dhaniya, Green Chilli, Giner, Garlic, Water, Salt, Degi mirch.	https://foodfunctional.in/paneer-dhaniya-adraki.html	https://foodfunctional.in/media/catalog/product/p/a/paneerdhaniya.jpg	Food Functional Store	new	in stock	350.00 INR	Paneer Dhaniya AdrakiIngredients  Silken Tofu, Dhaniya, Green Chilli, Giner, Garlic, Water, Salt, Degi mirch.	Default > Mains		
46	Butter Chicken in Vegan Gravy 250gms	Butter Chicken in Vegan GravyIngredients  Chicken, Vegan Curd, Tomato Puree, Water, Ginger, Garlic, Red Chilli, Salt, Kastoori Methi, Cashew Methi.	https://foodfunctional.in/butter-chicken-in-vegan-gravy.html	https://foodfunctional.in/media/catalog/product/v/e/vegan-butter-chicken-3.jpg	Food Functional Store	new	in stock	350.00 INR	Butter Chicken in Vegan GravyIngredients  Chicken, Vegan Curd, Tomato Puree, Water, Ginger, Garlic, Red Chilli, Salt, Kastoori Methi, Cashew Methi.	Default > Mains		
47	Brown Rice And Quinoa Biryani 250gms	Brown Rice And Quinoa BiryaniIngredients  Quinoa, Brown rice, carrot, Beans, Onion, Garlic, Soya Sauce, Chilli Paste, Capsicum, Biryani essence.	https://foodfunctional.in/brown-rice-quinoa-biryani.html	https://foodfunctional.in/media/catalog/product/q/u/quinoa-biryani.jpg	Food Functional Store	new	in stock	350.00 INR	Brown Rice And Quinoa BiryaniIngredients  Quinoa, Brown rice, carrot, Beans, Onion, Garlic, Soya Sauce, Chilli Paste, Capsicum, Biryani essence.	Default > Rice & Roti		
48	Multigrain Roti 35g each/3 Rotis	Low Carb Lauki Roti - Our low carb roti has only 30% of the carbohydrates of a normal roti. It also has less than 50% of the calories. Eat this to promote weight loss and balance out your meal.Ingredients  Whole Wheat Flour, Ghiya, Water, Bajra (Millet), Flax Seed	https://foodfunctional.in/multigrain-roti.html	https://foodfunctional.in/media/catalog/product/m/u/multigrainroti.jpg	Food Functional Store	new	in stock	105.00 INR	Low Carb Lauki Roti - Our low carb roti has only 30% of the carbohydrates of a normal roti. It also has less than 50% of the calories. Eat this to promote weight loss and balance out your meal.Ingredients  Whole Wheat Flour, Ghiya, Water, Bajra (Millet), Flax Seed	Default > Rice & Roti		
49	Stuffed Dal Parantha 50g each / 2 Paranthas	Stuffed Dal ParanthaIngredients  Black Masoor, Whole Wheat Flour, Onion, Green Chilli, Coriander, Flax Seed, Water	https://foodfunctional.in/stuffed-dal-parantha.html	https://foodfunctional.in/media/catalog/product/d/a/dal-paratha.jpg	Food Functional Store	new	in stock	125.00 INR	Stuffed Dal ParanthaIngredients  Black Masoor, Whole Wheat Flour, Onion, Green Chilli, Coriander, Flax Seed, Water	Default > Rice & Roti		
50	Vegan Keema Parantha 50g each / 2 Paranthas	Vegan Keema ParanthaIngredients  SoyaBean, Onion, Garlic, Salt, Coriander Whole Wheat Flour, water.	https://foodfunctional.in/vegan-keema-parantha.html	https://foodfunctional.in/media/catalog/product/v/e/vegankeemaparatha.jpg	Food Functional Store	new	in stock	125.00 INR	Vegan Keema ParanthaIngredients  SoyaBean, Onion, Garlic, Salt, Coriander Whole Wheat Flour, water.	Default > Rice & Roti		
51	Kesari Kheer  100gms	Kesari KheerIngredients  Carrot, Coconut Milk, kesar, Dates	https://foodfunctional.in/kesari-kheer.html	https://foodfunctional.in/media/catalog/product/r/i/rice-kheer.jpg	Food Functional Store	new	in stock	140.00 INR	Kesari KheerIngredients  Carrot, Coconut Milk, kesar, Dates	Default > Dessert		
52	Fruit Cream 100gms	Fruit CreamIngredients  Coconut Cream, Vanilla Essence, Sucralose, Cashewnut, Silicon Tofu, Apple, Pears.	https://foodfunctional.in/fruit-cream.html	https://foodfunctional.in/media/catalog/product/f/r/fruitcream.jpg	Food Functional Store	new	in stock	140.00 INR	Fruit CreamIngredients  Coconut Cream, Vanilla Essence, Sucralose, Cashewnut, Silicon Tofu, Apple, Pears.	Default > Dessert		
53	Coconut Pudding 100gms	Coconut PuddingIngredients  Coconut Water, Gelatine	https://foodfunctional.in/coconut-pudding.html	https://foodfunctional.in/media/catalog/product/c/o/coconut_pudding.jpg	Food Functional Store	new	in stock	140.00 INR	Coconut PuddingIngredients  Coconut Water, Gelatine	Default > Dessert		
54	Sauerkraut 300g	Ingredients  Cumin, Cabbage, Salt	https://foodfunctional.in/insalata-mista-54.html	https://foodfunctional.in/media/catalog/product/c/u/cuminsuarkaut.jpg	Food Functional Store	new	in stock	350.00 INR	Ingredients  Cumin, Cabbage, Salt	Default > Pro-Biotic		
55	Healthy Tomato Ketchup- No additives or artificial ingredients 100ml	Ingredients  Tomato, Onion powder, Dates, Salt, Pepper, Vinegar	https://foodfunctional.in/insalata-mista-55.html	https://foodfunctional.in/media/catalog/product/t/o/tomatoketchup4.jpg	Food Functional Store	new	in stock	125.00 INR	Ingredients  Tomato, Onion powder, Dates, Salt, Pepper, Vinegar	Default > Condiments		
56	Sauerkraut 50g	Ingredients  Cumin, Cabbage, Salt	https://foodfunctional.in/sauerkraut.html	https://foodfunctional.in/media/catalog/product/c/u/cuminsuarkaut1_1.jpg	Food Functional Store	new	in stock	85.00 INR	Ingredients  Cumin, Cabbage, Salt	Default > Pro-Biotic		
57	Turkish Kefir with Nuts 300ml	Ingredients  kefir, Nuts, Pepper, Salt	https://foodfunctional.in/turkish-kefir-with-nuts.html	https://foodfunctional.in/media/catalog/product/k/e/kefirone.jpg	Food Functional Store	new	in stock	350.00 INR	Ingredients  kefir, Nuts, Pepper, Salt	Default > Pro-Biotic		
58	Turkish Kefir with Nuts 100ml	Ingredients  kefir, Nuts, Pepper, Salt	https://foodfunctional.in/turkish-kefir-with-nuts-100ml.html	https://foodfunctional.in/media/catalog/product/k/e/kefirtwo_1.jpg	Food Functional Store	new	in stock	140.00 INR	Ingredients  kefir, Nuts, Pepper, Salt	Default > Pro-Biotic		
59	Whole Wheat Flour with added flax seeds 1Kg	Ingredients Whole Wheat, Flax Seeds	https://foodfunctional.in/whole-wheat-flour-with-added-flax-seeds-1kg.html	https://foodfunctional.in/media/catalog/product/1/-/1-2.jpg	Food Functional Store	new	in stock	150.00 INR	Ingredients Whole Wheat, Flax Seeds	Default > Rice & Roti		
60	Anti pollution bar 100g	Ingredients  Quinoa, Pumpkin Seeds,Sunflower Seed, Chia Seed, Basil, Basil Seed, Raus Turmeric, Black pepper, Molasis, Jaggery, Honey,  Almonds, Cashew nut, Walnut, Garlic, Ginger	https://foodfunctional.in/anti-pollution-bar-100g.html	https://foodfunctional.in/media/catalog/product/a/n/anti-pollution-bar.jpg	Food Functional Store	new	in stock	150.00 INR	Ingredients  Quinoa, Pumpkin Seeds,Sunflower Seed, Chia Seed, Basil, Basil Seed, Raus Turmeric, Black pepper, Molasis, Jaggery, Honey,  Almonds, Cashew nut, Walnut, Garlic, Ginger	Default > Dessert		
61	Chatpata Health Mix 250gms	Ingredients Roasted Channa, Bajra puff, Besan, Red Rice Poha, Peanut, Curry Leaves, Masala, Oil	https://foodfunctional.in/chatpata-health-mix-250gms.html	https://foodfunctional.in/media/catalog/product/9/_/9.jpg	Food Functional Store	new	in stock	200.00 INR	Ingredients Roasted Channa, Bajra puff, Besan, Red Rice Poha, Peanut, Curry Leaves, Masala, Oil	Default > snacks		
62	Bikaneri Namkeen 250gms	Ingredients  Red Rice, Roasted Channa, Peanut, Bajra Puff, Amarnath, Curry Leaves	https://foodfunctional.in/bikaneri-namkeen-250gms.html	https://foodfunctional.in/media/catalog/product/1/_/1.jpg	Food Functional Store	new	in stock	200.00 INR	Ingredients  Red Rice, Roasted Channa, Peanut, Bajra Puff, Amarnath, Curry Leaves	Default > snacks		
63	Beetroot Kvass 250ml	Ingredients  Water, Beetroot, salt	https://foodfunctional.in/beetroot-kvass-250ml.html	https://foodfunctional.in/media/catalog/product/k/v/kvass.jpg	Food Functional Store	new	in stock	150.00 INR	Ingredients  Water, Beetroot, salt	Default > Pro-Biotic		
